# subscriptions.csv
customer_id,plan,monthly_fee_inr,subscription_start,subscription_cancel_date
1001,Premium,799,2024-11-05,
1002,Basic,299,2024-12-12,2025-06-01
1003,Premium,799,2025-01-03,
1004,Basic,299,2025-01-10,
1005,Premium,799,2025-01-20,
1006,Basic,299,2025-02-02,2025-07-01
1007,Free,0,2025-02-18,
1008,Premium,799,2025-02-25,
1009,Free,0,2025-03-05,
1010,Basic,299,2025-03-15,2025-05-10
1011,Premium,799,2025-03-20,
1012,Free,0,2025-03-25,
1013,Basic,299,2025-04-02,
1014,Premium,799,2025-04-11,
1015,Basic,299,2025-04-20,
1016,Premium,799,2025-04-29,
1017,Free,0,2025-05-04,
1018,Premium,799,2025-05-11,
1019,Basic,299,2025-05-18,2025-07-15
1020,Free,0,2025-05-25,
1021,Premium,799,2025-06-01,
1022,Basic,299,2025-06-06,
1023,Free,0,2025-06-12,
1024,Premium,799,2025-06-18,
1025,Basic,299,2025-06-22,2025-07-20
1026,Free,0,2025-06-26,
1027,Premium,799,2025-06-30,
1028,Basic,299,2025-07-02,
1029,Free,0,2025-07-05,
1030,Premium,799,2025-07-08,
1031,Basic,299,2025-07-09,
1032,Free,0,2025-07-10,
1033,Premium,799,2025-07-11,
1034,Basic,299,2025-07-12,
1035,Free,0,2025-07-13,
1036,Premium,799,2025-07-14,
1037,Basic,299,2025-07-15,
1038,Free,0,2025-07-16,
1039,Premium,799,2025-07-17,
1040,Basic,299,2025-07-18,
1041,Free,0,2025-07-19,
1042,Premium,799,2025-07-20,
1043,Basic,299,2025-07-21,
1044,Free,0,2025-07-22,
1045,Premium,799,2025-07-23,
1046,Basic,299,2025-07-24,
1047,Free,0,2025-07-25,
1048,Premium,799,2025-07-26,
1049,Basic,299,2025-07-27,
1050,Free,0,2025-07-28,
